Epoch Time,z
1714079006.3260493,-0.9191170334815978
1714079006.326162,-0.7871917552418178
1714079006.326275,-0.6540990538067287
1714079006.326388,-0.5233412539517438
1714079006.3265007,-0.38908101894237374
1714079006.3266137,-0.2559882899125417
1714079006.3267264,-0.11939309813358165
1714079006.3268392,0.017205456754675618
1714079006.3269522,0.15616278957437585
1714079006.327065,0.2951201189447332
1714079006.3271778,0.438748272480788
1714079006.3272908,0.5858795510398017
1714079006.3274035,0.7318431580508197
1714079006.3275163,0.876639010729613
1714079006.3276293,1.0237702616938837
1714079006.327742,1.1697338687049017
1714079006.3278549,1.3133620774304424
1714079006.327968,1.4499839809205797
1714079006.3280807,1.5971151766953644
1714079006.3281934,1.7337371905644734
1714079006.3283064,1.8703590940546104
1714079006.3284192,2.009316285451253
1714079006.328532,2.1471058880841287
1714079006.328645,2.2872311097604254
1714079006.3287578,2.423852902871591
1714079006.3288705,2.5581395184552225
1714079006.3289835,2.6900905149954335
1714079006.3290963,2.81737071496469
1714079006.329209,2.9434833261701794
1714079006.329322,3.0579187251903392
1714079006.3294349,3.1758573320176864
1714079006.3295476,3.2856219344668918
1714079006.3296607,3.397721935201574
1714079006.3297734,3.50865434717249
1714079006.3298862,3.614915741814507
1714079006.3299992,3.7176741494072805
1714079006.330112,3.820432557000054
1714079006.3302248,3.916184548978452
1714079006.3303378,4.006097934864186
1714079006.3304505,4.091340965694851
1714079006.3305633,4.16724196186772
1714079006.3306763,4.247813754611545
1714079006.330789,4.313205348120795
1714079006.3309019,4.384435547722711
1714079006.3310149,4.449827582747847
1714079006.3311276,4.512883557213677
1714079006.3312404,4.570101367102729
1714079006.3313534,4.62615136747007
1714079006.3314662,4.674027584217212
1714079006.331579,4.721903359448468
1714079006.331692,4.763940970102945
1714079006.3318048,4.800139974664758
1714079006.3319175,4.8316681826556165
1714079006.3320305,4.8561899750321
1714079006.3321433,4.880711767408583
1714079006.332256,4.9040661917792425
1714079006.332369,4.92158156854135
1714079006.3324819,4.940265196341055
1714079006.3325946,4.953109776532208
1714079006.3327076,4.9636191791958275
1714079006.3328204,4.970625594810203
1714079006.3329332,4.976464200902868
1714079006.3330462,4.978799378430401
1714079006.333159,4.976464200902868
1714079006.3332717,4.976464200902868
1714079006.3333848,4.971792962816026
1714079006.3334975,4.965954798239248
1714079006.3336103,4.957780573103163
1714079006.3337233,4.948438979961254
1714079006.333836,4.940265196341055
1714079006.3339489,4.926252365112305
1714079006.3340619,4.915742962448685
1714079006.3341746,4.901730572735821
1714079006.3342874,4.888885992544668
1714079006.3344004,4.871370174266674
1714079006.3345132,4.852686987982856
1714079006.334626,4.836338979226571
1714079006.334739,4.8129849963717986
1714079006.3348517,4.79196619104456
1714079006.3349645,4.7686117666739
1714079006.3350775,4.745257783819127
1714079006.3351903,4.723071168970178
1714079006.335303,4.696213757550274
1714079006.335416,4.671691965173792
1714079006.3355289,4.648337982319019
1714079006.3356416,4.62731917699178
1714079006.3357546,4.600461765571876
1714079006.3358674,4.575939973195394
1714079006.3359802,4.546747384247956
1714079006.3360932,4.516386985778809
1714079006.336206,4.48602658730966
1714079006.3363187,4.452162760275382
1714079006.3364317,4.424137980849654
1714079006.3365445,4.3937775823805065
1714079006.3366575,4.365752361438892
1714079006.3367703,4.336559772491455
1714079006.336883,4.302695945457176
1714079006.336996,4.274671166031449
1714079006.3371089,4.239639970991346
1714079006.3372216,4.206943953478778
1714079006.3373346,4.168409771389431
1714079006.3374474,4.128707338262487
1714079006.3375602,4.09017315617314
1714079006.3376732,4.051638974083795
1714079006.337786,4.01310435047856
1714079006.3378987,3.972234549345793
1714079006.3380117,3.9325325577347363
1714079006.3381245,3.8928305661236795
1714079006.3382373,3.8507929554692018
1714079006.3383503,3.8064201672871905
1714079006.338463,3.7573761410183373
1714079006.3385758,3.7059969372219506
1714079006.3386889,3.6499469368546094
1714079006.3388016,3.5927293477235014
1714079006.3389144,3.53551153783445
1714079006.3390274,3.4794615374671087
1714079006.3391402,3.418740740528813
1714079006.339253,3.359187532354284
1714079006.339366,3.2972989258942778
1714079006.3394787,3.234242730670505
1714079006.3395915,3.1630125310685897
1714079006.3397045,3.0952853185159186
1714079006.3398173,3.0158811145358615
1714079006.33993,2.9399801183629917
1714079006.340043,2.858240516097457
1714079006.3401558,2.7741655155464455
1714079006.3402686,2.6889227054737233
1714079006.3403816,2.601344717873467
1714079006.3404944,2.514934319036978
1714079006.3406072,2.423852902871591
1714079006.3407202,2.3292684996569597
1714079006.340833,2.2346840964423285
1714079006.3409457,2.134261307892976
1714079006.3410587,2.0315029003002025
1714079006.3411715,1.9264090944219516
1714079006.3412843,1.8143089833082975
1714079006.3413973,1.702208982573615
1714079006.34151,1.5854381852679782
1714079006.3416228,1.469834976726108
1714079006.3417358,1.3530641794204712
1714079006.3418486,1.2292869665004589
1714079006.3419614,1.1113484700520833
1714079006.3420744,0.9864036683683042
1714079006.3421872,0.8579556588773374
1714079006.3423,0.7271723062903792
1714079006.342413,0.5917181019429807
1714079006.3425257,0.45626389759558217
1714079006.3426385,0.31380344320226594
1714079006.3427515,0.17251070174905989
1714079006.3428643,0.030050250805086557
1714079006.342977,-0.1123882140274401
1714079006.34309,-0.25482081152774666
1714079006.3432028,-0.4019233087698618
1714079006.3433156,-0.5443559200675399
1714079006.3434286,-0.69029093892486
1714079006.3435414,-0.8350584793973852
1714079006.3436542,-0.9833283998348095
1714079006.3437672,-1.1327659642254864
1714079006.34388,-1.2798684614676015
1714079006.3439927,-1.4293059154793066
