# time,# coil Bx (pT) mean,# coil Bx (pT) std,# coil By (pT) mean,# coil By (pT) std,# coil Bz (pT) mean,# coil Bz (pT) std,# Orientation,# cell Bx (pT) mean,# cell Bx (pT) std,# cell By (pT) mean,# cell By (pT) std,# cell Bz (pT) mean,# cell Bz (pT) std
_yaxi,33588.75326530613,244.46500000000378,6215.318571428571,121.08499999999913,47840.735102040824,45.542216303183984,up,55.25768678475839,49.149926702330305,-391.3194324956722,0.009220512742605606,4.12851150653514,99.89496615069457
_yaxi,-39054.86408163265,37.76499999999942,5405.114489795918,230.26000000000204,-41343.63489795919,52.88106181289404,down,44.63730935093593,39.26645630113637,-391.3207976813577,0.008525544894809662,-2.36405985940995,83.05436791670479
_yaxi,33272.05142857143,228.55999999999767,7203.119387755104,113.14500000000044,48273.444285714286,50.061086724937105,up,40.8891580697763,59.66316897361913,-391.32128898379614,0.009121498585159041,-5.110797466847043,94.78100951634323
_yaxi,-39025.49897959184,35.77000000000044,5567.722448979593,240.1850000000013,-41334.27285714286,54.09233632391602,down,54.665418285263804,47.41478892016955,-391.3199398411804,0.008927057890738778,7.268769349876421,88.37876636264689
_yaxi,32657.790408163266,220.61499999999796,6252.587959183674,113.14500000000089,48378.37183673469,37.783792426062774,up,36.21877132472113,38.89919547528306,-391.3209201257787,0.008726901167878005,-9.809763027489888,85.46115033097635
_yaxi,-38599.44204081633,35.77499999999782,6376.306122448979,232.24499999999898,-41041.03734693878,55.19063521477322,down,41.63894152935511,38.87501201956578,-391.32106007173036,0.008353524855490428,-3.11020819531323,86.00857435138741
_yaxi,32646.51428571429,214.65000000000146,6717.402040816327,119.09999999999854,48274.2518367347,46.21647063386526,up,40.419966338195934,47.07223799658461,-391.32114810973303,0.008465183948925065,-5.444277389551831,88.3482377087477
_yaxi,-38533.24653061225,41.73500000000058,5539.7704081632655,234.22999999999956,-41284.47224489796,53.44533542446902,down,54.23154133077824,39.58715356424943,-391.3194146626731,0.008694500566912615,7.502012025276454,83.67584421541345
_yaxi,32386.67836734694,192.79000000000087,5677.018979591838,117.1150000000016,48291.68551020408,32.85658018532065,up,39.942867538240236,40.42454423829772,-391.320745110472,0.008671812863362499,-3.8745962158130465,81.6218364771728
_yaxi,-38102.89183673469,41.73999999999796,5550.4651020408155,232.24499999999898,-41528.79408163266,48.91261036509961,down,65.41578077631458,34.29871658570037,-391.3188713196984,0.00858675647145636,18.753040064222947,88.46118643366876
