Epoch Time,SM
1712606830.0935917,-24.670863524079323
1712606830.094597,-24.35564436018467
1712606830.0956023,-23.40998500585556
1712606830.0966077,-24.35564436018467
1712606830.0976129,-23.40998500585556
1712606830.0986183,-24.040425196290016
1712606830.0996234,-23.725204169750214
1712606830.1006289,-22.46432565152645
1712606830.101634,-22.779544815421104
1712606830.1026394,-22.779544815421104
1712606830.1036446,-22.779544815421104
1712606830.10465,-23.40998500585556
1712606830.1056552,-23.40998500585556
1712606830.1066606,-24.040425196290016
1712606830.1076658,-24.040425196290016
1712606830.1086712,-23.40998500585556
1712606830.1096764,-24.040425196290016
1712606830.1106818,-22.46432565152645
1712606830.111687,-24.986082687973976
1712606830.1126924,-23.40998500585556
1712606830.1136975,-23.40998500585556
1712606830.114703,-24.040425196290016
1712606830.115708,-23.094765841960907
1712606830.1167135,-22.779544815421104
1712606830.1177187,-23.40998500585556
1712606830.118724,-23.725204169750214
1712606830.1197293,-22.149106487631798
1712606830.1207347,-21.518666297197342
1712606830.1217399,-24.040425196290016
1712606830.1227453,-23.40998500585556
1712606830.1237504,-24.040425196290016
1712606830.1247559,-24.35564436018467
1712606830.125761,-23.725204169750214
1712606830.1267664,-25.30130371451378
1712606830.1277716,-23.40998500585556
1712606830.128777,-25.30130371451378
1712606830.1297822,-24.040425196290016
1712606830.1307876,-23.094765841960907
1712606830.1317928,-24.986082687973976
1712606830.1327982,-22.149106487631798
1712606830.1338034,-23.725204169750214
1712606830.1348088,-23.40998500585556
1712606830.135814,-22.779544815421104
1712606830.1368194,-23.40998500585556
1712606830.1378245,-21.833887323737144
1712606830.13883,-24.670863524079323
1712606830.1398351,-23.725204169750214
1712606830.1408405,-23.725204169750214
1712606830.141846,-24.670863524079323
1712606830.142851,-23.40998500585556
1712606830.1438565,-24.35564436018467
1712606830.1448617,-24.040425196290016
1712606830.145867,-23.094765841960907
1712606830.1468723,-24.670863524079323
1712606830.1478777,-22.779544815421104
1712606830.1488829,-24.040425196290016
1712606830.1498883,-23.40998500585556
1712606830.1508934,-22.46432565152645
1712606830.1518989,-24.35564436018467
1712606830.152904,-22.779544815421104
1712606830.1539094,-23.40998500585556
1712606830.1549146,-22.779544815421104
1712606830.15592,-23.094765841960907
1712606830.1569252,-24.670863524079323
1712606830.1579306,-22.46432565152645
1712606830.1589358,-24.35564436018467
1712606830.1599412,-24.986082687973976
1712606830.1609464,-23.725204169750214
1712606830.1619518,-25.30130371451378
1712606830.162957,-23.40998500585556
1712606830.1639624,-24.670863524079323
1712606830.1649675,-22.779544815421104
1712606830.165973,-23.725204169750214
1712606830.1669781,-24.35564436018467
1712606830.1679835,-22.779544815421104
1712606830.1689887,-24.35564436018467
1712606830.169994,-22.46432565152645
1712606830.1709993,-22.779544815421104
1712606830.1720047,-24.040425196290016
1712606830.1730099,-23.40998500585556
1712606830.1740153,-24.35564436018467
1712606830.1750205,-23.40998500585556
1712606830.1760259,-24.040425196290016
1712606830.177031,-25.30130371451378
1712606830.1780365,-23.725204169750214
1712606830.1790416,-24.670863524079323
1712606830.180047,-24.040425196290016
1712606830.1810522,-23.725204169750214
1712606830.1820576,-24.35564436018467
1712606830.1830628,-22.779544815421104
1712606830.1840682,-23.725204169750214
1712606830.1850734,-22.46432565152645
1712606830.1860788,-23.40998500585556
1712606830.187084,-23.40998500585556
1712606830.1880894,-22.779544815421104
1712606830.1890945,-23.725204169750214
1712606830.1901,-24.040425196290016
1712606830.1911054,-24.040425196290016
1712606830.1921105,-23.725204169750214
1712606830.193116,-23.094765841960907
1712606830.1941211,-24.670863524079323
1712606830.1951265,-23.725204169750214
1712606830.1961317,-24.35564436018467
1712606830.197137,-23.725204169750214
1712606830.1981423,-22.779544815421104
1712606830.1991477,-23.725204169750214
1712606830.2001529,-23.725204169750214
1712606830.2011583,-24.040425196290016
1712606830.2021635,-23.40998500585556
1712606830.2031689,-21.833887323737144
1712606830.204174,-23.40998500585556
1712606830.2051795,-23.40998500585556
1712606830.2061846,-24.040425196290016
1712606830.20719,-24.040425196290016
1712606830.2081952,-23.725204169750214
1712606830.2092006,-24.35564436018467
1712606830.2102058,-23.725204169750214
1712606830.2112112,-24.670863524079323
1712606830.2122164,-24.670863524079323
1712606830.2132218,-22.779544815421104
1712606830.214227,-23.725204169750214
1712606830.2152324,-23.40998500585556
1712606830.2162375,-23.40998500585556
1712606830.217243,-24.670863524079323
1712606830.2182481,-22.149106487631798
1712606830.2192535,-23.40998500585556
1712606830.2202587,-22.46432565152645
1712606830.2212641,-23.40998500585556
1712606830.2222693,-22.779544815421104
1712606830.2232747,-22.149106487631798
1712606830.2242799,-24.35564436018467
1712606830.2252853,-23.094765841960907
1712606830.2262905,-24.35564436018467
1712606830.2272959,-23.725204169750214
1712606830.228301,-23.725204169750214
