# time,# coil Bx (pT) mean,# coil Bx (pT) std,# coil By (pT) mean,# coil By (pT) std,# coil Bz (pT) mean,# coil Bz (pT) std,# Orientation,# cell Bx (pT) mean,# cell Bx (pT) std,# cell By (pT) mean,# cell By (pT) std,# cell Bz (pT) mean,# cell Bz (pT) std
_xaxi,-7890.292040816325,21.86499999999978,-22083.89469387756,47.63999999999942,-33620.9730612245,19.517895002351093,up,-9.93321815300929,11.836151488777912,-10.980193591045794,48.79848028395081,-2.080483563896967,18.952736433625248
_xaxi,-8243.987346938775,35.774999999999636,22000.362653061224,43.67000000000007,40595.818979591844,21.078772012879302,down,-12.036159101079402,18.120649884017112,-9.981749381468463,37.98030368317883,-2.670599763589641,15.947035789287561
_xaxi,-7989.50469387755,19.875,-22079.033469387752,43.67000000000007,-33539.612653061224,15.559477822347315,up,-11.785824182340512,9.775850656590311,-13.01252231759706,43.09891713684642,-1.8991040606122422,17.23656183594281
_xaxi,-8247.394081632652,37.76500000000124,21867.489183673475,43.67000000000007,40585.48673469388,24.740678260029423,down,-12.358905681456044,18.64624471670893,-13.835977036511958,37.95106432240792,-2.456832102541349,16.855556288942786
_xaxi,-8307.991020408163,21.86499999999978,-22055.13244897959,43.67000000000007,-33625.494081632656,16.46265494475465,up,-9.114444131508488,11.319018255869734,-14.762252320933968,44.333547973945855,-1.0908359288896754,17.44297055292979
_xaxi,-8556.712857142858,37.76500000000124,21811.90918367347,45.655000000000655,40723.59142857143,21.64427953836117,down,-12.610502520678617,17.894672741179104,-7.060815332677188,37.03840375490163,-2.3918007031412785,16.391196682667427
_xaxi,-8133.417346938774,23.850000000000364,-22031.393469387756,49.625,-33515.39816326531,22.469455155693907,up,-8.828502811999979,10.191431564387491,-6.128844969726992,46.0787835054743,-3.1566035997639106,18.051745629503788
_xaxi,-8160.511632653061,37.7599999999984,21825.5206122449,35.72999999999956,40550.0530612245,16.874457839102828,down,-10.283278882384426,19.01433981283015,-14.237795225593183,37.42055963831785,-2.935246337268626,17.249148437733762
_xaxi,-7952.51306122449,15.899999999999636,-22039.414489795916,41.68499999999949,-33530.81469387755,16.196648948197723,up,-7.1050652930638405,9.661467170316804,-2.363625628871673,43.430130770468644,-0.31465541769592936,16.600336599441132
_xaxi,-8243.012448979593,33.79000000000087,21819.687142857147,33.74499999999898,40556.51081632654,19.195209419013246,down,-12.580976799245636,18.596193622213796,-10.029162060955649,37.602856858430364,-1.4504684893804216,15.874284494033203
