,x,y,z,temp,temp_error
1708451573.1420984,-14969.849999999999,5558.0,2396.730000000003,11035398.0,0.0
1708451573.2778854,-15939.75,5704.889999999999,2325.540000000001,11024255.0,-0.3382987976074219
1708451573.4136724,-16925.55,5827.959999999999,2250.3899999999994,11013426.0,-0.33614158630371094
1708451573.5494595,-17927.25,5927.209999999999,2167.3399999999965,11002778.0,-0.3338603973388672
1708451573.6852467,-18944.85,5998.669999999998,2080.3300000000017,10993834.0,-0.3319053649902344
1708451573.8210337,-19978.35,6042.3399999999965,1993.3199999999997,10984627.0,-0.32981300354003906
1708451573.9568207,-21027.75,6066.1600000000035,1906.3099999999977,10975341.0,-0.3276538848876953
1708451574.0926077,-22093.05,6066.1600000000035,1823.25,10967590.0,-0.3256492614746094
1708451574.2283947,-23174.25,6042.3399999999965,1744.1600000000035,10959934.0,-0.32378196716308594
1708451574.3641818,-24271.35,5998.669999999998,1669.010000000002,10952284.0,-0.32183074951171875
1708451574.4999688,-25384.35,5935.1500000000015,1597.8199999999997,10944672.0,-0.31976318359375
1708451574.6357558,-26509.28,5851.779999999999,1534.5400000000009,10938452.0,-0.31812286376953125
1708451574.771543,-27650.1,5748.559999999998,1479.1699999999983,10931855.0,-0.31635093688964844
1708451574.90733,-28802.85,5633.43,1431.7099999999991,10924958.0,-0.3144512176513672
1708451575.043117,-29971.5,5498.449999999997,1396.1100000000006,10919620.0,-0.31286048889160156
1708451575.178904,-31152.08,5351.559999999998,1368.4300000000003,10914237.0,-0.31136512756347656
1708451575.314691,-32340.6,5192.760000000002,1352.6100000000006,10908143.0,-0.3096923828125
1708451575.450478,-33537.08,5022.050000000003,1348.6600000000035,10902894.0,-0.3080291748046875
1708451575.586265,-34741.5,4839.43,1356.5699999999997,10898672.0,-0.3068122863769531
1708451575.722052,-35949.9,4648.870000000003,1372.3899999999994,10893653.0,-0.30536842346191406
1708451575.8578393,-37162.28,4454.3399999999965,1400.0699999999997,10888540.0,-0.3038158416748047
1708451575.9936264,-38374.65,4247.9000000000015,1439.6200000000026,10885145.0,-0.3026695251464844
