# time,# coil Bx (pT) mean,# coil Bx (pT) std,# coil By (pT) mean,# coil By (pT) std,# coil Bz (pT) mean,# coil Bz (pT) std,# Orientation,# cell Bx (pT) mean,# cell Bx (pT) std,# cell By (pT) mean,# cell By (pT) std,# cell Bz (pT) mean,# cell Bz (pT) std
_xaxi,17446.16209677419,34.54999999999927,-16419.66677419355,147.59999999999945,10917.815161290326,80.85520042807597,up,-33.506646239458526,46.563586927565,-10.123573042436755,143.1903520251444,-4.987058055612045,92.44984946475488
_xaxi,19399.74201612904,110.55999999999949,16444.663548387096,134.6850000000013,-2911.748870967742,72.45640889983962,down,-45.07189872639616,90.1049351724719,1.5744110220335517,143.03526698746364,-28.68218727443168,95.12680178252394
_xaxi,17577.592661290324,39.73500000000058,-16159.224193548385,154.97999999999956,11338.508548387097,77.47024911469497,up,-40.68372855220898,65.31382691587321,-2.295753416686304,148.28371338912967,-14.703173171307663,94.96111579845763
_xaxi,19492.718790322575,22.460000000000946,16342.77193548387,90.40499999999884,-2576.799838709677,39.081679087477305,down,-15.578882624558728,87.01826127827894,41.96146356490672,130.06428579412304,-5.274995157207082,89.57552082045311
_xaxi,17498.934435483872,19.00500000000102,-16352.4135483871,132.83999999999924,11198.657661290326,27.612678805592555,up,-35.87063913137285,76.78553247568064,-50.66715593033497,134.35454042468155,1.5078101029781406,110.65500176876246
_xaxi,19154.465000000004,17.269999999998618,16487.93177419355,40.590000000000146,-1907.7112096774197,18.794023569309655,down,-52.388814155447825,67.87951976770468,-98.68500703643663,131.1692329530854,16.880269215926184,81.55721949247626
_xaxi,16939.36564516129,20.729999999999563,-16509.774193548386,123.61500000000069,10288.332177419356,23.962509042537246,up,-28.775756763989133,73.08644209494636,-83.41199030305054,139.1646171661024,1.9524148923748619,106.31471672407477
_xaxi,18900.01911290323,27.640000000001237,16729.745806451618,29.520000000000437,-2766.114758064515,43.18330416737998,down,-25.14066064008265,81.10129445700163,94.3908140075409,119.48876600409434,-56.478041380422425,77.05745407221184
_xaxi,16644.963225806452,25.909999999999854,-16547.447903225806,71.95499999999811,9925.490322580641,70.92450878694939,up,-44.29351956576988,63.44679229011926,30.449048425147897,140.75105532105457,-31.50441397812766,93.03652192979965
_xaxi,18536.019596774193,34.54999999999927,17023.993548387098,22.139999999999418,-2043.1880645161289,35.97412956371328,down,-38.284820522021974,73.91412314189483,91.59697863031487,122.76270529631635,-78.64396553368836,73.61858070411743
