,distance,shift mean,shift std
0,1,0.05331196454218423,0.0
1,2,0.020569734537304374,0.0
2,3,0.004077811049116864,0.0
3,4,0.002338258632114787,0.0
4,5,0.00816750865699678,0.0
5,6,0.001626783561018641,0.0
