# time,# coil Bx (pT) mean,# coil Bx (pT) std,# coil By (pT) mean,# coil By (pT) std,# coil Bz (pT) mean,# coil Bz (pT) std,# Orientation,# cell Bx (pT) mean,# cell Bx (pT) std,# cell By (pT) mean,# cell By (pT) std,# cell Bz (pT) mean,# cell Bz (pT) std
_xaxi,-20446.632258064514,45.70999999999913,21885.105241935482,158.8000000000011,56505.15387096775,19.838119127061685,up,43.64307298408275,12.764257007364447,-391.3199528173917,0.00781251769161182,-1.6996519464887074,17.8181690338687
_xaxi,-20170.46556451613,129.1849999999995,-22938.467903225806,109.17499999999927,-49776.102177419336,22.069870045091147,down,44.168620358526944,10.538708351617544,-391.3202469051348,0.007853890690119917,-0.4871965763982437,17.329718007548514
_xaxi,-20466.18669354839,41.73999999999978,22205.26653225807,156.8149999999987,56443.78693548386,27.149178511227525,up,47.625391461462975,12.238798566019994,-391.32016997112396,0.007906999865526109,1.4663594694010988,17.625416280664332
_xaxi,-20417.332258064514,133.15999999999985,-22581.392016129033,105.20499999999993,-49818.17096774194,20.80573922136244,down,40.30232799949739,10.283214933235742,-391.3206738451675,0.007665200841999758,-3.949949639568857,17.426113371226908
_xaxi,-20451.056209677416,49.68499999999949,22500.615322580645,166.73999999999978,56430.58306451612,25.011847649998327,up,41.56860956350485,12.966333492329385,-391.32033785846767,0.007809716079817512,-3.1601942983985514,18.578392074310273
_xaxi,-20424.897983870964,149.0650000000005,-22975.350483870967,93.29499999999825,-49750.71354838709,18.016906226919406,down,43.030647954916255,11.101680500296847,-391.32041465997077,0.007551593145838292,-0.9202042430028889,17.61266631812792
_xaxi,-20469.970161290326,57.63500000000022,22405.367338709675,162.77000000000226,56499.12548387097,28.94710608286036,up,41.40260371048574,13.342981051937238,-391.3203451728965,0.00798587082248407,-2.7785193426865002,18.62113743495919
_xaxi,-20357.70677419355,151.04999999999927,-22992.447096774198,101.23500000000058,-49794.44129032258,21.543387428244213,down,41.38355911292175,10.722438076934235,-391.3203376994583,0.007597642312714955,-1.46801779202154,17.221585336086488
_xaxi,-20448.075,57.63999999999942,22648.46580645161,166.7400000000016,56410.90233870969,25.667627443194828,up,41.85393470905574,13.094100294733648,-391.3205967521473,0.007755123549709931,-2.4613223067703074,18.631062856584734
_xaxi,-20271.57112903226,149.0650000000005,-23643.367016129036,99.25,-49723.44370967742,19.858079751062583,down,42.29287067291168,11.648170762167528,-391.3202399617277,0.00774966822539689,-1.2227410351650299,19.80257958230258
