Epoch Time,SM
1712606789.242571,-23.725204169750214
1712606789.2435756,-21.518666297197342
1712606789.2445803,-22.46432565152645
1712606789.2455847,-22.779544815421104
1712606789.2465892,-21.20344713330269
1712606789.2475939,-24.040425196290016
1712606789.2485983,-22.149106487631798
1712606789.2496028,-23.40998500585556
1712606789.2506073,-24.040425196290016
1712606789.251612,-21.518666297197342
1712606789.2526164,-23.094765841960907
1712606789.2536209,-22.149106487631798
1712606789.2546256,-22.46432565152645
1712606789.25563,-22.46432565152645
1712606789.2566345,-21.833887323737144
1712606789.2576392,-22.149106487631798
1712606789.2586436,-21.20344713330269
1712606789.259648,-22.46432565152645
1712606789.2606528,-21.833887323737144
1712606789.2616572,-22.149106487631798
1712606789.2626617,-22.46432565152645
1712606789.2636664,-22.46432565152645
1712606789.2646708,-22.779544815421104
1712606789.2656753,-23.094765841960907
1712606789.2666798,-22.149106487631798
1712606789.2676845,-23.40998500585556
1712606789.268689,-22.149106487631798
1712606789.2696934,-22.149106487631798
1712606789.270698,-22.779544815421104
1712606789.2717025,-21.20344713330269
1712606789.272707,-22.46432565152645
1712606789.2737117,-22.149106487631798
1712606789.2747161,-22.46432565152645
1712606789.2757206,-22.46432565152645
1712606789.2767253,-21.833887323737144
1712606789.2777297,-22.779544815421104
1712606789.2787342,-21.20344713330269
1712606789.2797387,-23.40998500585556
1712606789.2807434,-22.149106487631798
1712606789.2817478,-22.779544815421104
1712606789.2827523,-24.040425196290016
1712606789.283757,-22.149106487631798
1712606789.2847614,-22.149106487631798
1712606789.285766,-22.779544815421104
1712606789.2867706,-21.833887323737144
1712606789.287775,-23.094765841960907
1712606789.2887795,-21.833887323737144
1712606789.2897842,-22.149106487631798
1712606789.2907887,-22.149106487631798
1712606789.291793,-20.888227969408035
1712606789.2927978,-21.833887323737144
1712606789.2938023,-22.149106487631798
1712606789.2948067,-22.46432565152645
1712606789.2958112,-22.779544815421104
1712606789.2968159,-21.833887323737144
1712606789.2978203,-24.040425196290016
1712606789.2988248,-20.573008805513382
1712606789.2998295,-22.149106487631798
1712606789.300834,-21.518666297197342
1712606789.3018384,-23.094765841960907
1712606789.302843,-24.670863524079323
1712606789.3038476,-21.833887323737144
1712606789.304852,-22.46432565152645
1712606789.3058567,-23.094765841960907
1712606789.3068612,-22.149106487631798
1712606789.3078656,-22.779544815421104
1712606789.30887,-21.20344713330269
1712606789.3098748,-23.40998500585556
1712606789.3108792,-22.149106487631798
1712606789.3118837,-21.833887323737144
1712606789.3128884,-23.725204169750214
1712606789.3138928,-21.518666297197342
1712606789.3148973,-23.40998500585556
1712606789.315902,-24.040425196290016
1712606789.3169065,-23.094765841960907
1712606789.317911,-23.094765841960907
1712606789.3189156,-22.779544815421104
1712606789.31992,-23.40998500585556
1712606789.3209245,-22.779544815421104
1712606789.3219292,-21.833887323737144
1712606789.3229337,-22.779544815421104
1712606789.3239381,-22.46432565152645
1712606789.3249426,-21.518666297197342
1712606789.3259473,-21.518666297197342
1712606789.3269517,-22.149106487631798
1712606789.3279562,-22.46432565152645
1712606789.328961,-22.779544815421104
1712606789.3299654,-23.40998500585556
1712606789.3309698,-22.779544815421104
1712606789.3319745,-22.46432565152645
