# time,# coil Bx (pT) mean,# coil Bx (pT) std,# coil By (pT) mean,# coil By (pT) std,# coil Bz (pT) mean,# coil Bz (pT) std,# Orientation,# cell Bx (pT) mean,# cell Bx (pT) std,# cell By (pT) mean,# cell By (pT) std,# cell Bz (pT) mean,# cell Bz (pT) std
_yaxi,25382.707582417577,46.64000000000124,7090.59857142857,57.19499999999971,68138.57134453779,94.7295735807845,up,29.21384567760944,5.075659633871569,-391.32130541446224,0.007117086226186195,-8.74836216990154,0.25785432694376503
_yaxi,-29575.93,43.19000000000051,8905.777346938778,84.86999999999898,-61097.34959183673,37.1021267314522,down,28.74752742163452,5.065293630659018,-391.32154931906484,0.00719858515623761,-8.792629213337637,0.2696964454588617
_yaxi,25370.859565217394,110.55999999999949,7222.9365306122445,123.61499999999796,68065.4559398496,18.99844208245283,up,28.536634519792095,5.185377314185475,-391.3211335790529,0.007288240914754283,-8.735606662166107,0.25818376657054654
_yaxi,-29580.944285714286,148.5650000000005,8585.107142857143,83.02500000000146,-61209.67083333333,138.3571798712471,down,28.974212758496385,5.103969311738775,-391.3213978846444,0.007144776227636136,-8.755721281399845,0.2682204999578628
_yaxi,25268.36745341615,100.19499999999789,7269.751836734694,134.6850000000013,68174.10378571428,53.71941123584223,up,28.277122126793635,5.104498229021311,-391.32165350708755,0.007203597287923101,-8.701479193032078,0.2600426446877036
_yaxi,-29466.886122448977,46.64000000000124,8580.011428571428,53.50500000000102,-61313.13636363639,69.57882753627206,down,30.040802600983735,5.0795758104367374,-391.321575733248,0.007330733895154749,-8.78435873597105,0.2622653267191918
_yaxi,25277.446086956523,89.82499999999891,7461.78244897959,99.63000000000102,68051.85514285714,35.162941947570275,up,29.959862366472844,5.221356405320125,-391.3211040178523,0.007330079638713313,-8.762538718494765,0.25921295500492
_yaxi,-29637.239183673468,252.21500000000015,8648.795204081633,116.23500000000058,-61007.44747252747,88.51519823051727,down,30.300502151705242,5.138462829621256,-391.3213649160408,0.007388144529012603,-8.76757868298731,0.25402119785862953
_yaxi,25546.721180124227,107.10499999999774,7533.649591836736,132.84000000000015,67951.84221428572,59.5855770667914,up,29.702674926427513,5.084407040644839,-391.3212046064947,0.0073812715364739425,-8.679794685223518,0.2533322476130768
_yaxi,-29552.0210989011,134.75,8687.163673469388,119.92499999999927,-60938.17065934066,76.01621408594954,down,29.84266575446345,5.055491027116577,-391.32125006835247,0.007309315484054465,-8.659127070616611,0.2647125324153963
