# time,# coil Bx (pT) mean,# coil Bx (pT) std,# coil By (pT) mean,# coil By (pT) std,# coil Bz (pT) mean,# coil Bz (pT) std,# Orientation,# cell Bx (pT) mean,# cell Bx (pT) std,# cell By (pT) mean,# cell By (pT) std,# cell Bz (pT) mean,# cell Bz (pT) std
_xaxi,-22125.737903225803,146.83999999999833,21732.07645161291,151.29000000000087,56009.23370967741,104.96965241522867,up,28.465800311131993,5.096111602395575,-391.3213526559679,0.00755003938813673,-8.733718236574976,0.2545106855439678
_xaxi,-26462.905645161296,67.375,-21966.867580645165,114.38999999999942,-47275.773629032265,88.72495368830212,down,27.068827352113665,5.083871021084083,-391.321590374906,0.007080645525763451,-8.72829581078467,0.2606826970940621
_xaxi,-23004.311774193553,145.11000000000058,21695.593064516124,99.6299999999992,55755.713387096774,82.98903372839455,up,28.682934989631214,5.148883457977012,-391.321429457471,0.0073387755860924294,-8.720470449353996,0.2640392044416203
_xaxi,-26516.067983870973,72.55500000000029,-22072.86580645161,118.07999999999993,-47218.07193548389,107.73089372312457,down,27.881374525587116,5.082802961773013,-391.3215065504911,0.007189632213217584,-8.694115009745694,0.24609614935080448
_xaxi,-22933.28838709677,138.20000000000073,22150.02846774194,86.71500000000015,55566.27903225807,63.834738487545046,up,28.168164139136397,5.150238629548885,-391.32114241914115,0.0072853559327112185,-8.715426349394354,0.2582505464360956
_xaxi,-25394.977177419358,86.375,-22166.216854838705,130.9950000000008,-47741.22806451612,69.93292108222485,down,30.606436279766037,5.100344157434923,-391.321114566008,0.007466494181559161,-8.72604699700118,0.264584382040587
_xaxi,-22874.10725806452,103.64999999999964,21933.62782258064,95.94000000000051,55780.40032258064,112.50626981765468,up,28.901730300216368,5.0863492596447,-391.32141543814896,0.007195377498934967,-8.736737696082493,0.25981945340134077
_xaxi,-26519.18870967741,126.11000000000058,-22321.91104838709,143.90999999999985,-47169.08766129032,80.13276332587118,down,28.43347076992626,5.085227823947997,-391.3214715154369,0.007275308682823594,-8.73033448008278,0.26405391192100913
_xaxi,-24321.72451612903,126.11000000000058,22213.800000000003,94.09500000000116,54895.33137096773,108.42642563667913,up,28.170063015222443,5.063841656501156,-391.32139436941367,0.007255570631969652,-8.733711223601288,0.258973051133544
_xaxi,-26295.839999999997,60.460000000000946,-22292.093467741935,105.16499999999905,-47304.536290322576,103.85670269319492,down,29.45498969526968,5.023896349531101,-391.321359360861,0.007045123053905578,-8.585218396142995,0.25484228398360825
