Epoch Time,z
1710864513.0010402,-1.220343377855089
1710864513.0011535,-1.2168408764733207
1710864513.0012665,-1.2126379542880588
1710864513.0013797,-1.2073842684427898
1710864513.0014927,-1.2024809254540336
1710864513.001606,-1.1961764759487576
1710864513.0017192,-1.1902223692999945
1710864513.0018322,-1.1828672885894775
1710864513.0019455,-1.1755120754241943
1710864513.0020585,-1.1671062310536702
1710864513.0021718,-1.159050597084893
1710864513.002285,-1.149594121509128
1710864513.002398,-1.141188144683838
1710864513.0025113,-1.1320818795098198
1710864513.0026243,-1.1229754818810356
1710864513.0027375,-1.1128184530470107
1710864513.0028508,-1.1030115683873494
1710864513.0029638,-1.0932047499550712
1710864513.003077,-1.0826974444919162
1710864513.00319,-1.0711393753687541
1710864513.0033033,-1.0588808192147148
1710864513.0034165,-1.0459218422571819
1710864513.0035295,-1.0336632861031425
1710864513.0036428,-1.0207042429182265
1710864513.003756,-1.0070447127024333
1710864513.003869,-0.9930349720848931
1710864513.0039823,-0.9786749548382229
1710864513.0040953,-0.9636144505606757
1710864513.0042086,-0.9478534592522515
1710864513.0043218,-0.9320924679438273
1710864513.0044348,-0.9145802921719021
1710864513.004548,-0.8974183268017238
1710864513.004661,-0.8788553873697916
1710864513.0047743,-0.8609929349687364
1710864513.0048876,-0.8420797851350572
1710864513.0050006,-0.823516845703125
1710864513.0051138,-0.8049539062711928
1710864513.0052269,-0.7860406902101305
1710864513.00534,-0.7660767767164443
1710864513.0054533,-0.745762652821011
1710864513.0055664,-0.7257987393273247
1710864513.0056796,-0.7040835751427544
1710864513.0057926,-0.6827186875873141
1710864513.0059059,-0.66030310259925
1710864513.006019,-0.6382377280129327
1710864513.0061321,-0.6165225638283623
1710864513.0062454,-0.5941069788402981
1710864513.0063584,-0.5716913276248508
1710864513.0064716,-0.5499762296676636
1710864513.006585,-0.5275606115659078
1710864513.006698,-0.5044444733195834
1710864513.0068111,-0.4820288552178277
1710864513.0069242,-0.4582122630543179
1710864513.0070374,-0.4340454273753696
1710864513.0071507,-0.4091781046655443
1710864513.0072637,-0.384310781955719
1710864513.007377,-0.3601439462767707
1710864513.00749,-0.3342258599069383
1710864513.0076032,-0.31005902422799003
1710864513.0077164,-0.2841409709718492
1710864513.0078294,-0.25787265764342415
1710864513.0079427,-0.23265509141816032
1710864513.008056,-0.20533604754341972
1710864513.008169,-0.1787175072564019
1710864513.0082822,-0.1506979763507843
1710864513.0083952,-0.12267845372358957
1710864513.0085084,-0.09430868758095635
1710864513.0086217,-0.06663940432998869
1710864513.0087347,-0.03932036873367097
1710864513.008848,-0.011300844036870532
1710864513.008961,0.015671015199687745
1710864513.0090742,0.04264508270555072
1710864513.0091875,0.06786759114927715
1710864513.0093005,0.09554228848881191
1710864513.0094137,0.12216604418224758
1710864513.0095267,0.14914010961850485
1710864513.00964,0.1761141750547621
1710864513.0097532,0.20238762100537616
1710864513.0098662,0.22866106695599026
1710864513.0099795,0.2545842031637828
1710864513.0100925,0.28015702962875366
1710864513.0102057,0.3050292200512356
1710864513.010319,0.3292007909880744
1710864513.010432,0.35337236192491317
1710864513.0105453,0.377543932861752
1710864513.0106583,0.40206581354141235
1710864513.0107715,0.4272883137067159
1710864513.0108848,0.4532114333576626
1710864513.0109978,0.47913455300860935
1710864513.011111,0.5040067765447829
1710864513.011224,0.5281783474816216
1710864513.0113373,0.5516492658191257
1710864513.0114505,0.5754705270131429
1710864513.0115635,0.5978905492358737
1710864513.0116768,0.6213614675733778
1710864513.0117898,0.6444821092817519
1710864513.011903,0.6676027509901259
1710864513.0120163,0.6917742888132731
1710864513.0121293,0.7145446538925171
1710864513.0122426,0.737665229373508
1710864513.0123556,0.7611362139383951
1710864513.0124688,0.783556236161126
1710864513.012582,0.8052755726708306
1710864513.012695,0.8262943559222751
1710864513.0128083,0.8466124534606934
1710864513.0129216,0.8658796548843384
1710864513.0130346,0.8847965796788533
1710864513.0131478,0.9040637148751153
1710864513.0132608,0.9229806396696303
1710864513.013374,0.9422478410932753
1710864513.0134873,0.9604640801747639
