Epoch Time,x,y,z
1717694301.522511,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694301.53255,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694301.542589,-391.37261885183824,-391.34926266140405,-391.37261885183824
1717694301.552628,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.5626671,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694301.572706,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694301.582745,-391.34926266140405,-391.3609186808268,-391.37261885183824
1717694301.592784,-391.3609186808268,-391.3376066419813,-391.3609186808268
1717694301.602823,-391.34926266140405,-391.3609186808268,-391.37261885183824
1717694301.612862,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694301.622901,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694301.63294,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694301.642979,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694301.653018,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694301.663057,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694301.673096,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.683135,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.693174,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694301.703213,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694301.713252,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694301.723291,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694301.73333,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717694301.7433689,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694301.753408,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.7634468,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694301.773486,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.783525,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694301.7935638,-391.34926266140405,-391.34926266140405,-391.37261885183824
1717694301.803603,-391.34926266140405,-391.37261885183824,-391.37261885183824
1717694301.8136418,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694301.8236809,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694301.83372,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694301.8437588,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694301.853798,-391.37261885183824,-391.34926266140405,-391.37261885183824
1717694301.8638368,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.8738759,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694301.883915,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694301.8939538,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694301.903993,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694301.9140317,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694301.9240708,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694301.93411,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694301.9441488,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.9541879,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694301.9642267,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694301.9742658,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694301.984305,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694301.9943438,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694302.0043828,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694302.0144217,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694302.0244608,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694302.0345,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.0445387,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.0545778,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.0646167,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694302.0746558,-391.3609186808268,-391.3609186808268,-391.3609186808268
