# time,# coil Bx (pT) mean,# coil Bx (pT) std,# coil By (pT) mean,# coil By (pT) std,# coil Bz (pT) mean,# coil Bz (pT) std,# Orientation,# cell Bx (pT) mean,# cell Bx (pT) std,# cell By (pT) mean,# cell By (pT) std,# cell Bz (pT) mean,# cell Bz (pT) std
_xaxi,-20171.72979591837,278.125,23017.085844155845,188.1900000000005,59645.63346320346,105.04004273426692,up,26.18257210489915,6.4152183330010475,-391.32119645428435,0.007413902175577155,-8.556902783042583,0.2642815204197983
_xaxi,-24005.95875,72.55499999999847,-23208.008433179722,182.65500000000065,-51192.65392857143,95.12815907892302,down,28.097354409405323,6.421382722945897,-391.32132664763844,0.007254897339960616,-8.476327299803405,0.26376475244092745
_xaxi,-21409.290476190476,165.84000000000015,23342.0774025974,190.03499999999985,58950.07907563025,121.12003908888673,up,26.95196376814429,6.39715182971225,-391.3212003227229,0.007366000607484076,-8.588022165727464,0.26640646772777493
_xaxi,-23980.2775,141.65500000000065,-23525.4796875,201.10499999999956,-51131.423169642854,108.90636993228793,down,26.665269232553122,6.426423937639841,-391.32115791533926,0.007497286998098314,-8.56504079653804,0.2614651346652594
_xaxi,-21331.940966386555,177.9350000000013,23470.310892857146,153.13500000000022,58914.14617647058,101.83133086366158,up,26.792910012638767,6.431811831694991,-391.3214998050251,0.007286811845630904,-8.558374503385986,0.2616548351273707
_xaxi,-23971.60915178571,86.375,-23799.906964285714,175.27500000000146,-51037.78455357144,112.29638620305171,down,27.007082481329537,6.425921499255679,-391.32082725689236,0.007638357649624535,-8.548582395863702,0.26083614000458477
_xaxi,-20042.210084033613,186.5749999999989,23732.51407563025,167.89500000000044,59331.395924369746,112.58532967753507,up,28.390199298858477,6.432899052986174,-391.32155367309866,0.007213499472170743,-8.549190442213602,0.26930150114130164
_xaxi,-24717.83622119815,89.82999999999993,-23877.07238095238,169.73999999999978,-50628.94774193549,95.63083366003943,down,25.872773897051978,6.426125178236034,-391.3212412882569,0.007377204700019096,-8.55338578445844,0.2624342363427714
_xaxi,-20914.692896825396,184.84499999999935,23772.576932773107,178.96500000000015,58916.10763392857,102.1553282612781,up,25.840725240991336,6.443070139816703,-391.3213084835007,0.007364056247594491,-8.553536645735468,0.26208640490003443
_xaxi,-23964.836405529953,82.92000000000007,-23946.37664835165,160.51500000000124,-50888.03752380952,99.80894901456605,down,26.807688778759474,6.469192589299997,-391.32117609618354,0.007375960687863728,-8.552390982479755,0.2607599100412201
