# time,# coil Bx (pT) mean,# coil Bx (pT) std,# coil By (pT) mean,# coil By (pT) std,# coil Bz (pT) mean,# coil Bz (pT) std,# Orientation,# cell Bx (pT) mean,# cell Bx (pT) std,# cell By (pT) mean,# cell By (pT) std,# cell Bz (pT) mean,# cell Bz (pT) std
_yaxi,3538.5593877551014,19.875,851.4434693877552,77.41500000000087,2277.1910204081637,66.29405751818237,up,-9.008966046816408,23.145202267075966,-7.914732497595611,76.36902684562106,3.2386356455343384,85.47792481843375
_yaxi,-9658.76163265306,59.625,704.7155102040814,41.68500000000131,4312.239795918367,61.44463987481786,down,-5.138941058450249,36.233748028754654,-15.092478060840893,31.443698701821123,4.894484434971063,67.31717907824896
_yaxi,3666.246530612246,21.860000000000582,719.2181632653063,69.47499999999854,2404.961836734694,56.72909758627326,up,-16.709680964024237,19.40992086460077,-14.191890151262253,67.29255412591716,-9.31706942531485,73.90224822204478
_yaxi,-9753.513265306123,63.600000000000364,660.0732653061224,47.640000000003056,4340.409591836735,57.76850568270743,down,-7.194992667000625,37.3420878306207,-13.496790463241055,29.757408841555566,4.682441100757276,65.17709641592012
_yaxi,3752.723265306122,17.8849999999984,648.4873469387753,81.38500000000204,2427.1583673469386,61.2749086160548,up,-13.728964781723889,22.06667928580627,-12.589461515954913,75.20827030899427,-3.8273194702628044,77.75353213483318
_yaxi,-9879.334489795918,69.55999999999949,822.8432653061227,35.72999999999956,3997.858163265306,62.324706689829966,down,-10.044908766428783,47.86012655994008,-11.807891314215384,33.7002344164876,4.4602941286777655,82.9743818478546
_yaxi,3833.1967346938773,21.8650000000016,637.4685714285714,83.36999999999898,2367.509591836735,65.825993902886,up,-8.565172942317673,23.003781381735685,-7.449881321736958,75.8709018601581,-2.941445634947626,81.5219345281797
_yaxi,-9862.702653061224,61.60999999999967,541.0542857142858,39.69999999999709,4218.047551020409,64.83479843324928,down,-11.57534850096467,40.63896212377611,-9.235883226344244,32.103815053241796,-5.41739370778644,71.73294307968995
_yaxi,3857.4522448979587,25.840000000000373,609.030408163265,73.44499999999971,2430.1448979591837,61.47299470540546,up,-6.460449109031218,20.830972198663808,-5.6360147266176694,70.03196061549404,9.026332526187055,74.84169805460492
_yaxi,-9934.901428571427,67.57499999999982,526.4706122448985,35.729999999999535,4251.946530612245,54.977001297240776,down,-10.452779362764323,38.732794677171725,-12.968303542248181,31.24650952507488,-8.35516657240333,69.98081410840207
